date,ticker,weight
2021-03-31,2330,0.06999999999999999
2021-03-31,2382,0.06999999999999999
2021-03-31,2454,0.06999999999999999
2021-03-31,CASH,0.050000000000000155
2021-04-29,006208,0.5
2021-04-29,00631L,0.1
2021-04-29,2308,0.06999999999999999
2021-04-29,2317,0.06999999999999999
2021-04-29,2345,0.06999999999999999
2021-04-29,2382,0.06999999999999999
2021-04-29,2454,0.06999999999999999
2021-04-29,CASH,0.050000000000000155
2021-05-31,006208,0.5
2021-05-31,2308,0.06999999999999999
2021-05-31,2317,0.06999999999999999
2021-05-31,2345,0.06999999999999999
2021-05-31,2454,0.06999999999999999
2021-05-31,6669,0.06999999999999999
2021-05-31,CASH,0.15000000000000013
2021-06-30,006208,0.5
2021-06-30,00631L,0.1
2021-06-30,2308,0.06999999999999999
2021-06-30,2345,0.06999999999999999
2021-06-30,2383,0.06999999999999999
2021-06-30,2454,0.06999999999999999
2021-06-30,6669,0.06999999999999999
2021-06-30,CASH,0.050000000000000044
2021-07-30,006208,0.5
2021-07-30,2345,0.08
2021-07-30,2383,0.08
2021-07-30,6669,0.08
2021-07-30,CASH,0.26
2021-08-31,006208,0.5
2021-08-31,2330,0.08
2021-08-31,2383,0.08
2021-08-31,6669,0.08
2021-08-31,CASH,0.26
2021-09-30,006208,0.5
2021-09-30,2356,0.08
2021-09-30,2383,0.08
2021-09-30,CASH,0.3400000000000001
2021-10-29,006208,0.35
2021-10-29,2330,0.025
2021-10-29,2356,0.025
2021-10-29,2383,0.025
2021-10-29,3231,0.025
2021-10-29,CASH,0.55
2021-11-30,006208,0.5
2021-11-30,2356,0.06999999999999999
2021-11-30,2382,0.06999999999999999
2021-11-30,2383,0.06999999999999999
2021-11-30,2454,0.06999999999999999
2021-11-30,6669,0.06999999999999999
2021-11-30,CASH,0.15000000000000013
2021-12-30,006208,0.5
2021-12-30,00631L,0.1
2021-12-30,2330,0.06999999999999999
2021-12-30,2382,0.06999999999999999
2021-12-30,2383,0.06999999999999999
2021-12-30,2454,0.06999999999999999
2021-12-30,6669,0.06999999999999999
2021-12-30,CASH,0.050000000000000155
2022-01-26,006208,0.5
2022-01-26,00631L,0.1
2022-01-26,2382,0.06999999999999999
2022-01-26,2383,0.06999999999999999
2022-01-26,2454,0.06999999999999999
2022-01-26,3231,0.06999999999999999
2022-01-26,6669,0.06999999999999999
2022-01-26,CASH,0.050000000000000044
2022-02-25,006208,0.35
2022-02-25,2382,0.02
2022-02-25,2383,0.02
2022-02-25,2454,0.02
2022-02-25,3231,0.02
2022-02-25,6669,0.02
2022-02-25,CASH,0.55
2022-03-31,006208,0.35
2022-03-31,2308,0.02
2022-03-31,2382,0.02
2022-03-31,2383,0.02
2022-03-31,3231,0.02
2022-03-31,6669,0.02
2022-03-31,CASH,0.55
2022-04-29,006208,0.35
2022-04-29,6669,0.08
2022-04-29,CASH,0.5700000000000001
2022-05-31,006208,0.35
2022-05-31,2317,0.05
2022-05-31,2356,0.05
2022-05-31,CASH,0.55
2022-06-30,006208,0.35
2022-06-30,2317,0.08
2022-06-30,CASH,0.5700000000000001
2022-07-29,006208,0.35
2022-07-29,2308,0.03333333333333333
2022-07-29,2317,0.03333333333333333
2022-07-29,2345,0.03333333333333333
2022-07-29,CASH,0.55
2022-08-31,006208,0.35
2022-08-31,2308,0.03333333333333333
2022-08-31,2317,0.03333333333333333
2022-08-31,2345,0.03333333333333333
2022-08-31,CASH,0.55
2022-09-30,006208,0.35
2022-09-30,2308,0.05
2022-09-30,2345,0.05
2022-09-30,CASH,0.55
2022-10-31,006208,0.35
2022-10-31,2308,0.05
2022-10-31,2356,0.05
2022-10-31,CASH,0.55
2022-11-30,006208,0.35
2022-11-30,2308,0.02
2022-11-30,2345,0.02
2022-11-30,2356,0.02
2022-11-30,3231,0.02
2022-11-30,6669,0.02
2022-11-30,CASH,0.55
2022-12-30,006208,0.35
2022-12-30,2308,0.02
2022-12-30,2356,0.02
2022-12-30,2383,0.02
2022-12-30,3231,0.02
2022-12-30,6669,0.02
